t,mon,year
52,1,1973
51,1,1973
47,1,1973
51,1,1973
48,1,1973
45,1,1973
44,1,1973
44,1,1973
44,1,1973
44,1,1973
43,1,1973
44,1,1973
44,1,1973
42,1,1973
41,1,1973
36,1,1973
30,1,1973
37,1,1973
44,1,1973
40,1,1973
35,1,1973
39,1,1973
51,1,1973
51,1,1973
49,1,1973
45,1,1973
44,1,1973
49,1,1973
48,1,1973
42,1,1973
40,1,1973
48,2,1973
48,2,1973
48,2,1973
47,2,1973
45,2,1973
49,2,1973
48,2,1973
42,2,1973
37,2,1973
40,2,1973
44,2,1973
38,2,1973
33,2,1973
32,2,1973
34,2,1973
34,2,1973
41,2,1973
42,2,1973
49,2,1973
48,2,1973
46,2,1973
41,2,1973
39,2,1973
38,2,1973
33,2,1973
37,2,1973
40,2,1973
45,2,1973
45,3,1973
45,3,1973
49,3,1973
47,3,1973
41,3,1973
41,3,1973
41,3,1973
43,3,1973
42,3,1973
41,3,1973
41,3,1973
42,3,1973
43,3,1973
41,3,1973
43,3,1973
42,3,1973
46,3,1973
49,3,1973
44,3,1973
44,3,1973
48,3,1973
49,3,1973
50,3,1973
49,3,1973
44,3,1973
41,3,1973
47,3,1973
44,3,1973
46,3,1973
45,3,1973
45,3,1973
44,4,1973
40,4,1973
40,4,1973
51,4,1973
45,4,1973
43,4,1973
41,4,1973
37,4,1973
38,4,1973
44,4,1973
46,4,1973
47,4,1973
48,4,1973
49,4,1973
51,4,1973
51,4,1973
48,4,1973
51,4,1973
47,4,1973
48,4,1973
45,4,1973
44,4,1973
46,4,1973
46,4,1973
48,4,1973
47,4,1973
48,4,1973
42,4,1973
39,4,1973
44,4,1973
45,5,1973
46,5,1973
47,5,1973
49,5,1973
50,5,1973
48,5,1973
48,5,1973
49,5,1973
51,5,1973
46,5,1973
46,5,1973
51,5,1973
51,5,1973
47,5,1973
47,5,1973
50,5,1973
51,5,1973
54,5,1973
53,5,1973
51,5,1973
54,5,1973
54,5,1973
53,5,1973
56,5,1973
53,5,1973
58,5,1973
57,5,1973
55,5,1973
54,5,1973
56,5,1973
50,5,1973
50,6,1973
52,6,1973
52,6,1973
52,6,1973
58,6,1973
59,6,1973
61,6,1973
61,6,1973
60,6,1973
57,6,1973
58,6,1973
58,6,1973
52,6,1973
58,6,1973
59,6,1973
61,6,1973
61,6,1973
64,6,1973
58,6,1973
55,6,1973
56,6,1973
63,6,1973
59,6,1973
57,6,1973
57,6,1973
54,6,1973
58,6,1973
60,6,1973
63,6,1973
64,6,1973
61,7,1973
58,7,1973
63,7,1973
60,7,1973
65,7,1973
58,7,1973
55,7,1973
57,7,1973
58,7,1973
61,7,1973
59,7,1973
