"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-02-10","0.08",",,s",,,"35",",,s","42",",,s","31",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-02-11","0.01",",,s",,,"34",",,s","37",",,s","33",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-02-12","0.00",",,s",,,"38",",,s","41",",,s","34",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-02-13","0.50",",,s",,,"40",",,s","42",",,s","38",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-02-14","0.20",",,s",,,"38",",,s","42",",,s","33",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-02-15","0.00",",,s",,,"37",",,s","46",",,s","31",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-02-16","0.00",",,s",,,"38",",,s","47",",,s","32",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-02-17","0.00",",,s",,,"37",",,s","49",",,s","29",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-02-18","0.00",",,s",,,"43",",,s","59",",,s","34",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-02-19","0.00",",,s",,,"44",",,s","52",",,s","39",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-02-20","0.00",",,s",,,"47",",,s","57",",,s","37",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-02-21","0.01",",,s",,,"56",",,s","72",",,s","47",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-02-22","0.10",",,s",,,"49",",,s","59",",,s","41",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-02-23","0.17",",,s",,,"48",",,s","53",",,s","43",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-02-24","0.36",",,s",,,"42",",,s","44",",,s","40",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-02-25","0.58",",,s",,,"41",",,s","44",",,s","37",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-02-26","0.26",",,s",,,"44",",,s","47",",,s","41",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-02-27","0.51",",,s",,,"46",",,s","49",",,s","43",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-02-28","0.01",",,s",,,"41",",,s","43",",,s","36",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-03-01","0.02",",,s",,,"31",",,s","36",",,s","27",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-03-02","0.00","T,,s",,,"30",",,s","35",",,s","26",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-03-03","0.00",",,s",,,"33",",,s","41",",,s","26",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-03-04","0.00",",,s",,,"39",",,s","45",",,s","33",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-03-05","0.46",",,s",,,"44",",,s","48",",,s","39",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-03-06","0.08",",,s",,,"41",",,s","46",",,s","36",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-03-07","0.00",",,s",,,"41",",,s","54",",,s","32",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-03-08","0.00",",,s",,,"47",",,s","56",",,s","40",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-03-09","0.00",",,s",,,"55",",,s","65",",,s","48",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-03-10","0.00",",,s",,,"56",",,s","68",",,s","46",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-03-11","0.34",",,s",,,"48",",,s","54",",,s","39",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-03-12","0.17",",,s",,,"40",",,s","42",",,s","37",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-03-13","0.00",",,s",,,"40",",,s","48",",,s","36",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-03-14","0.03",",,s",,,"43",",,s","47",",,s","38",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-03-15","0.00",",,s",,,"48",",,s","60",",,s","36",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-03-16","0.00",",,s",,,"51",",,s","62",",,s","41",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-03-17","0.00",",,s",,,"54",",,s","69",",,s","42",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-03-18","0.00",",,s",,,"49",",,s","63",",,s","38",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-03-19","0.02",",,s",,,"41",",,s","44",",,s","38",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-03-20","0.10",",,s",,,"44",",,s","52",",,s","37",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-03-21","0.20",",,s",,,"45",",,s","51",",,s","41",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-03-22","0.00",",,s",,,"44",",,s","51",",,s","37",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-03-23","0.00",",,s",,,"42",",,s","47",",,s","37",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-03-24","0.70",",,s",,,"47",",,s","51",",,s","44",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-03-25","0.05",",,s",,,"49",",,s","57",",,s","42",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-03-26","0.00","T,,s",,,"53",",,s","63",",,s","43",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-03-27","0.74",",,s",,,"49",",,s","52",",,s","45",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-03-28","0.04",",,s",,,"47",",,s","53",",,s","44",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-03-29","0.00",",,s",,,"49",",,s","56",",,s","41",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-03-30","0.00",",,s",,,"47",",,s","55",",,s","39",",,s"
